"","zip5","retirement_homes"
"1",50010,1
"2",50014,1
"3",50021,1
"4",50036,3
"5",50063,1
"6",50112,4
"7",50129,1
"8",50131,6
"9",50156,1
"10",50201,1
"11",50248,1
"12",50249,1
"13",50265,1
"14",50266,1
"15",50310,1
"16",50312,1
"17",50325,1
"18",50501,2
"19",50533,1
"20",50588,1
"21",50601,1
"22",50613,2
"23",50674,1
"24",50675,1
"25",50677,1
"26",50702,1
"27",51034,1
"28",51106,1
"29",51250,1
"30",51301,1
"31",51442,1
"32",51503,1
"33",51537,1
"34",51555,1
"35",51566,1
"36",51579,1
"37",52001,2
"38",52057,1
"39",52101,2
"40",52203,1
"41",52246,1
"42",52247,1
"43",52349,2
"44",52353,1
"45",52361,1
"46",52402,1
"47",52405,2
"48",52654,1
"49",52722,1
"50",52732,1
"51",52761,1
"52",52772,1
"53",52776,1
"54",52806,1
"55",52807,1
