"","zip5","assisted_living_occupancy"
"1",50003,28
"2",50009,68
"3",50010,131
"4",50014,266
"5",50021,166
"6",50022,186
"7",50023,308
"8",50035,80
"9",50036,90
"10",50047,44
"11",50049,70
"12",50058,24
"13",50060,20
"14",50076,32
"15",50111,68
"16",50112,87
"17",50115,28
"18",50124,84
"19",50125,236
"20",50126,82
"21",50129,68
"22",50131,248
"23",50138,146
"24",50140,10
"25",50144,32
"26",50156,94
"27",50158,146
"28",50201,106
"29",50208,120
"30",50211,60
"31",50213,86
"32",50216,141
"33",50219,154
"34",50220,118
"35",50248,85
"36",50250,24
"37",50263,112
"38",50265,122
"39",50266,96
"40",50273,74
"41",50310,193
"42",50312,257
"43",50314,129
"44",50316,228
"45",50317,108
"46",50320,208
"47",50322,196
"48",50323,40
"49",50325,260
"50",50327,280
"51",50401,329
"52",50421,32
"53",50423,90
"54",50428,116
"55",50436,80
"56",50438,28
"57",50441,74
"58",50450,70
"59",50456,8
"60",50458,16
"61",50459,32
"62",50461,106
"63",50475,32
"64",50501,234
"65",50511,102
"66",50514,24
"67",50517,18
"68",50525,42
"69",50536,66
"70",50548,32
"71",50574,63
"72",50575,18
"73",50583,20
"74",50588,84
"75",50590,34
"76",50595,132
"77",50597,32
"78",50601,18
"79",50602,36
"80",50604,36
"81",50613,526
"82",50616,82
"83",50619,24
"84",50621,32
"85",50625,12
"86",50627,8
"87",50628,20
"88",50629,20
"89",50630,52
"90",50638,80
"91",50644,104
"92",50648,48
"93",50658,40
"94",50659,68
"95",50662,54
"96",50665,74
"97",50669,24
"98",50670,60
"99",50674,94
"100",50675,30
"101",50677,60
"102",50702,100
"103",50703,128
"104",50801,64
"105",50849,40
"106",50851,70
"107",50854,48
"108",51002,57
"109",51006,20
"110",51012,92
"111",51016,18
"112",51023,40
"113",51025,70
"114",51030,50
"115",51031,114
"116",51035,21
"117",51040,48
"118",51041,44
"119",51050,44
"120",51054,47
"121",51063,26
"122",51101,120
"123",51103,45
"124",51104,128
"125",51106,202
"126",51108,85
"127",51201,164
"128",51239,48
"129",51246,39
"130",51248,26
"131",51249,44
"132",51250,124
"133",51301,126
"134",51334,72
"135",51346,32
"136",51351,44
"137",51358,30
"138",51360,227
"139",51401,153
"140",51442,112
"141",51445,46
"142",51455,42
"143",51458,12
"144",51501,184
"145",51503,416
"146",51521,40
"147",51529,12
"148",51534,50
"149",51535,20
"150",51537,64
"151",51555,36
"152",51560,24
"153",51566,64
"154",51579,15
"155",51601,70
"156",51632,71
"157",52001,44
"158",52002,367
"159",52003,140
"160",52031,36
"161",52033,62
"162",52040,64
"163",52042,54
"164",52043,42
"165",52049,7
"166",52052,47
"167",52057,74
"168",52060,79
"169",52076,17
"170",52101,199
"171",52136,78
"172",52142,40
"173",52151,26
"174",52157,18
"175",52159,56
"176",52172,32
"177",52175,158
"178",52203,56
"179",52205,32
"180",52216,36
"181",52233,20
"182",52240,176
"183",52241,44
"184",52245,65
"185",52246,244
"186",52249,24
"187",52302,352
"188",52310,48
"189",52314,24
"190",52316,24
"191",52317,152
"192",52328,62
"193",52332,24
"194",52333,36
"195",52349,108
"196",52353,52
"197",52356,38
"198",52361,94
"199",52401,110
"200",52402,179
"201",52403,49
"202",52405,354
"203",52501,282
"204",52531,70
"205",52537,28
"206",52544,126
"207",52556,158
"208",52565,20
"209",52577,166
"210",52591,68
"211",52601,227
"212",52627,204
"213",52632,64
"214",52641,82
"215",52722,136
"216",52732,165
"217",52738,18
"218",52742,40
"219",52748,176
"220",52755,42
"221",52761,184
"222",52772,70
"223",52773,60
"224",52776,36
"225",52777,28
"226",52778,48
"227",52804,102
"228",52806,328
"229",52807,433
